row_number,model,seed,method,predictor,bucket_size,num_chains,dimension,repeat,method_seconds,monolithic_seconds_same_index,pairing_note
2,funnel,0,bucketed,history,128,128,4,13,0.616368256509304,0.4577415660023689,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,history,128,128,4,14,0.5656291767954826,0.45820730924606323,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,history,128,128,4,15,0.5981392934918404,0.5078118667006493,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,history,128,128,4,16,0.5230756476521492,0.466131828725338,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,history,128,128,4,17,0.5254642367362976,0.5183276832103729,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,history,128,128,4,18,0.6554522216320038,0.5155332684516907,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,history,128,128,4,19,0.6012635082006454,0.5784299597144127,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,history,128,128,4,20,0.5893367677927017,0.5075557827949524,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,history,128,128,4,21,0.5713827013969421,0.5239628702402115,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,history,128,128,4,22,0.5862488970160484,0.5127561986446381,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,history,128,128,4,23,0.6058488711714745,0.4894726797938347,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,history,128,128,4,24,0.5493444129824638,0.5419622361660004,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,history,128,128,4,25,0.6150507852435112,0.48288095742464066,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,history,128,128,4,26,0.6223183199763298,0.49665115028619766,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,history,128,128,4,27,0.5785217806696892,0.5058698132634163,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,history,128,128,4,28,0.8044284954667091,0.5048968493938446,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,history,128,128,4,29,0.7295697182416916,0.47072646766901016,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,last_depth,64,128,4,0,0.6908733546733856,0.48086803406476974,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,last_depth,64,128,4,1,0.6346216425299644,0.43754449486732483,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,last_depth,64,128,4,2,0.613398052752018,0.493364542722702,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,last_depth,64,128,4,3,0.6750940605998039,0.4655666872859001,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,last_depth,64,128,4,4,0.6708328649401665,0.5092131718993187,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,last_depth,64,128,4,5,0.5673137977719307,0.5067403838038445,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,last_depth,64,128,4,6,0.6036935448646545,0.5238175466656685,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,last_depth,64,128,4,7,0.6520597413182259,0.43955548107624054,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,last_depth,64,128,4,8,0.5111653134226799,0.5112926140427589,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,last_depth,64,128,4,9,0.4945805296301842,0.5150169655680656,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,last_depth,64,128,4,10,0.5174190551042557,0.4865223467350006,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,last_depth,64,128,4,11,0.5525218471884727,0.49725694209337234,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,last_depth,64,128,4,12,0.4713481217622757,0.4735590070486069,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,last_depth,64,128,4,13,0.5218079388141632,0.4577415660023689,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,last_depth,64,128,4,14,0.43550657480955124,0.45820730924606323,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,last_depth,64,128,4,15,0.49298031628131866,0.5078118667006493,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,last_depth,64,128,4,16,0.5402562916278839,0.466131828725338,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,last_depth,64,128,4,17,0.4801277369260788,0.5183276832103729,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,last_depth,64,128,4,18,0.5418888702988625,0.5155332684516907,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,last_depth,64,128,4,19,0.4855111390352249,0.5784299597144127,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,last_depth,64,128,4,20,0.4908462315797806,0.5075557827949524,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,last_depth,64,128,4,21,0.5368194729089737,0.5239628702402115,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,last_depth,64,128,4,22,0.4976838529109955,0.5127561986446381,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,last_depth,64,128,4,23,0.45871400088071823,0.4894726797938347,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
