row_number,model,seed,method,predictor,bucket_size,num_chains,dimension,repeat,method_seconds,monolithic_seconds_same_index,pairing_note
2,hierarchical_logistic,0,bucketed,none,128,512,8,27,0.5057441219687462,0.35189341753721237,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,hierarchical_logistic,0,bucketed,none,128,512,8,28,0.517132118344307,0.4169389307498932,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,hierarchical_logistic,0,bucketed,none,128,512,8,29,0.5167105570435524,0.35354384034872055,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,hierarchical_logistic,0,bucketed,history,64,512,8,0,0.49101345986127853,0.38843854516744614,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,hierarchical_logistic,0,bucketed,history,64,512,8,1,0.4968658909201622,0.3513946235179901,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,hierarchical_logistic,0,bucketed,history,64,512,8,2,0.46158717572689056,0.3631865531206131,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,hierarchical_logistic,0,bucketed,history,64,512,8,3,0.47313331812620163,0.3400320038199425,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,hierarchical_logistic,0,bucketed,history,64,512,8,4,0.5239289030432701,0.35279129445552826,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,hierarchical_logistic,0,bucketed,history,64,512,8,5,0.4075438752770424,0.35653693974018097,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,hierarchical_logistic,0,bucketed,history,64,512,8,6,0.404075063765049,0.34479818493127823,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,hierarchical_logistic,0,bucketed,history,64,512,8,7,0.4093945398926735,0.34521501511335373,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,hierarchical_logistic,0,bucketed,history,64,512,8,8,0.3913688138127327,0.3411964327096939,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,hierarchical_logistic,0,bucketed,history,64,512,8,9,0.4079028367996216,0.35056132078170776,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,hierarchical_logistic,0,bucketed,history,64,512,8,10,0.40900515764951706,0.3442094027996063,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,hierarchical_logistic,0,bucketed,history,64,512,8,11,0.4092743918299675,0.3439497575163841,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,hierarchical_logistic,0,bucketed,history,64,512,8,12,0.4128614291548729,0.34905607253313065,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,hierarchical_logistic,0,bucketed,history,64,512,8,13,0.3990899622440338,0.35771167278289795,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,hierarchical_logistic,0,bucketed,history,64,512,8,14,0.4120582938194275,0.340014711022377,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,hierarchical_logistic,0,bucketed,history,64,512,8,15,0.3991010710597038,0.34860461205244064,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,hierarchical_logistic,0,bucketed,history,64,512,8,16,0.3906448781490326,0.35313327610492706,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,hierarchical_logistic,0,bucketed,history,64,512,8,17,0.4064366966485977,0.33774925023317337,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,hierarchical_logistic,0,bucketed,history,64,512,8,18,0.4031694158911705,0.3452396020293236,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,hierarchical_logistic,0,bucketed,history,64,512,8,19,0.4255475103855133,0.34999529272317886,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,hierarchical_logistic,0,bucketed,history,64,512,8,20,0.40519434213638306,0.34414228796958923,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,hierarchical_logistic,0,bucketed,history,64,512,8,21,0.39596647769212723,0.34170185029506683,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,hierarchical_logistic,0,bucketed,history,64,512,8,22,0.41179215908050537,0.34769129008054733,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,hierarchical_logistic,0,bucketed,history,64,512,8,23,0.39697812497615814,0.35095154494047165,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,hierarchical_logistic,0,bucketed,history,64,512,8,24,0.4121759608387947,0.3450822979211807,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,hierarchical_logistic,0,bucketed,history,64,512,8,25,0.40275590121746063,0.3466787561774254,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,hierarchical_logistic,0,bucketed,history,64,512,8,26,0.3925344944000244,0.35295601934194565,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,hierarchical_logistic,0,bucketed,history,64,512,8,27,0.4051772877573967,0.35189341753721237,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,hierarchical_logistic,0,bucketed,history,64,512,8,28,0.39593034982681274,0.4169389307498932,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,hierarchical_logistic,0,bucketed,history,64,512,8,29,0.4040127322077751,0.35354384034872055,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,hierarchical_logistic,0,bucketed,history,128,512,8,0,0.4452671930193901,0.38843854516744614,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,hierarchical_logistic,0,bucketed,history,128,512,8,1,0.4287619814276695,0.3513946235179901,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,hierarchical_logistic,0,bucketed,history,128,512,8,2,0.41641491651535034,0.3631865531206131,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,hierarchical_logistic,0,bucketed,history,128,512,8,3,0.4422044977545738,0.3400320038199425,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,hierarchical_logistic,0,bucketed,history,128,512,8,4,0.4282996729016304,0.35279129445552826,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,hierarchical_logistic,0,bucketed,history,128,512,8,5,0.461520254611969,0.35653693974018097,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,hierarchical_logistic,0,bucketed,history,128,512,8,6,0.42615988105535507,0.34479818493127823,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,hierarchical_logistic,0,bucketed,history,128,512,8,7,0.4492586478590965,0.34521501511335373,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,hierarchical_logistic,0,bucketed,history,128,512,8,8,0.4365992844104767,0.3411964327096939,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,hierarchical_logistic,0,bucketed,history,128,512,8,9,0.44223833084106445,0.35056132078170776,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,hierarchical_logistic,0,bucketed,history,128,512,8,10,0.45721573382616043,0.3442094027996063,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,hierarchical_logistic,0,bucketed,history,128,512,8,11,0.4354950860142708,0.3439497575163841,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,hierarchical_logistic,0,bucketed,history,128,512,8,12,0.43757474422454834,0.34905607253313065,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,hierarchical_logistic,0,bucketed,history,128,512,8,13,0.4299498125910759,0.35771167278289795,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,hierarchical_logistic,0,bucketed,history,128,512,8,14,0.4286147952079773,0.340014711022377,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
