row_number,model,seed,method,predictor,bucket_size,num_chains,dimension,repeat,method_seconds,monolithic_seconds_same_index,pairing_note
2,stochastic_volatility,0,bucketed,none,128,512,6,23,0.603915199637413,0.3159673437476158,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,stochastic_volatility,0,bucketed,none,128,512,6,24,0.639046810567379,0.362884484231472,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,stochastic_volatility,0,bucketed,none,128,512,6,25,0.64911700040102,0.3280029147863388,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,stochastic_volatility,0,bucketed,none,128,512,6,26,0.7102202102541924,0.28541214019060135,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,stochastic_volatility,0,bucketed,none,128,512,6,27,0.7161068096756935,0.3513184264302254,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,stochastic_volatility,0,bucketed,none,128,512,6,28,0.5985063761472702,0.28056298941373825,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,stochastic_volatility,0,bucketed,none,128,512,6,29,0.6613451689481735,0.3184075877070427,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,stochastic_volatility,0,bucketed,history,64,512,6,0,0.7724673449993134,0.31629855930805206,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,stochastic_volatility,0,bucketed,history,64,512,6,1,0.7162609323859215,0.33848123997449875,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,stochastic_volatility,0,bucketed,history,64,512,6,2,0.6209725886583328,0.3907069191336632,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,stochastic_volatility,0,bucketed,history,64,512,6,3,0.6950432807207108,0.34330810606479645,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,stochastic_volatility,0,bucketed,history,64,512,6,4,0.7234883457422256,0.34378089755773544,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,stochastic_volatility,0,bucketed,history,64,512,6,5,0.7709486186504364,0.28828269243240356,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,stochastic_volatility,0,bucketed,history,64,512,6,6,0.9225917384028435,0.32130254805088043,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,stochastic_volatility,0,bucketed,history,64,512,6,7,0.7692224606871605,0.40217792987823486,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,stochastic_volatility,0,bucketed,history,64,512,6,8,0.78108861297369,0.2921770289540291,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,stochastic_volatility,0,bucketed,history,64,512,6,9,0.6729161664843559,0.3166840225458145,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,stochastic_volatility,0,bucketed,history,64,512,6,10,0.7302877306938171,0.4912969470024109,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,stochastic_volatility,0,bucketed,history,64,512,6,11,0.7026343196630478,0.43506970256567,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,stochastic_volatility,0,bucketed,history,64,512,6,12,0.9268438145518303,0.4006064012646675,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,stochastic_volatility,0,bucketed,history,64,512,6,13,0.7285564690828323,0.40053876489400864,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,stochastic_volatility,0,bucketed,history,64,512,6,14,0.719427689909935,0.3922790139913559,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,stochastic_volatility,0,bucketed,history,64,512,6,15,0.7292781695723534,0.35736098885536194,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,stochastic_volatility,0,bucketed,history,64,512,6,16,0.6253551468253136,0.34104931354522705,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,stochastic_volatility,0,bucketed,history,64,512,6,17,0.7068816795945168,0.2716711238026619,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,stochastic_volatility,0,bucketed,history,64,512,6,18,0.6347125023603439,0.35862261056900024,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,stochastic_volatility,0,bucketed,history,64,512,6,19,0.6578241437673569,0.2963058650493622,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,stochastic_volatility,0,bucketed,history,64,512,6,20,0.6975884735584259,0.26851484924554825,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,stochastic_volatility,0,bucketed,history,64,512,6,21,0.7078852206468582,0.3121873363852501,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,stochastic_volatility,0,bucketed,history,64,512,6,22,0.6881847009062767,0.3745619133114815,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,stochastic_volatility,0,bucketed,history,64,512,6,23,0.7407501563429832,0.3159673437476158,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,stochastic_volatility,0,bucketed,history,64,512,6,24,0.7327876836061478,0.362884484231472,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,stochastic_volatility,0,bucketed,history,64,512,6,25,0.6614397019147873,0.3280029147863388,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,stochastic_volatility,0,bucketed,history,64,512,6,26,0.6477368474006653,0.28541214019060135,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,stochastic_volatility,0,bucketed,history,64,512,6,27,0.6726611778140068,0.3513184264302254,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,stochastic_volatility,0,bucketed,history,64,512,6,28,0.6845699399709702,0.28056298941373825,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
