row_number,model,seed,method,predictor,bucket_size,num_chains,dimension,repeat,method_seconds,monolithic_seconds_same_index,pairing_note
3,eight_schools_centered,0,bucketed,history,64,512,10,3,1.8986578062176704,1.9970072135329247,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_centered,0,bucketed,history,64,512,10,4,1.907916821539402,1.9923262000083923,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_centered,0,bucketed,history,64,512,10,5,1.9757997915148735,2.1531567201018333,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_centered,0,bucketed,history,64,512,10,6,1.9899429380893707,2.0624205097556114,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_centered,0,bucketed,history,64,512,10,7,2.012025259435177,2.059899851679802,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_centered,0,bucketed,history,64,512,10,8,2.065405033528805,2.0969169810414314,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_centered,0,bucketed,history,64,512,10,9,1.9734292030334473,2.1098748072981834,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_centered,0,bucketed,history,64,512,10,10,2.081700161099434,2.103776454925537,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_centered,0,bucketed,history,64,512,10,11,2.0460299402475357,2.0339782685041428,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_centered,0,bucketed,history,64,512,10,12,1.9562703520059586,2.0171046629548073,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_centered,0,bucketed,history,64,512,10,13,2.145330399274826,2.0841848850250244,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_centered,0,bucketed,history,64,512,10,14,1.9822816997766495,2.0174858942627907,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_centered,0,bucketed,history,64,512,10,15,1.961035966873169,2.100391775369644,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_centered,0,bucketed,history,64,512,10,16,2.058248147368431,1.9914533644914627,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_centered,0,bucketed,history,64,512,10,17,2.162389799952507,2.0405857786536217,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_centered,0,bucketed,history,64,512,10,18,1.8959279656410217,2.0139219909906387,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_centered,0,bucketed,history,64,512,10,19,2.1261423975229263,2.03299493342638,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_centered,0,bucketed,history,64,512,10,20,2.146862894296646,2.0420066565275192,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_centered,0,bucketed,history,64,512,10,21,2.103185534477234,2.30061886459589,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_centered,0,bucketed,history,64,512,10,22,2.134470909833908,2.491060383617878,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_centered,0,bucketed,history,64,512,10,23,2.2162736132740974,2.551964722573757,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_centered,0,bucketed,history,64,512,10,24,2.271246775984764,2.130551427602768,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_centered,0,bucketed,history,64,512,10,25,2.0512620881199837,2.0800612345337868,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_centered,0,bucketed,history,64,512,10,26,2.0635146275162697,2.040302462875843,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_centered,0,bucketed,history,64,512,10,27,2.071303866803646,2.053363487124443,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
