row_number,model,seed,method,predictor,bucket_size,num_chains,dimension,repeat,method_seconds,monolithic_seconds_same_index,pairing_note
3,funnel,0,bucketed,history,64,512,4,27,1.0601484403014183,1.024169348180294,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,history,64,512,4,28,0.9413428381085396,1.0385425388813019,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,history,64,512,4,29,1.0753957107663155,0.9882810711860657,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,history,128,512,4,0,1.0381477996706963,1.1752708405256271,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,history,128,512,4,1,0.9953398108482361,1.1890087276697159,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,history,128,512,4,2,1.0656843930482864,1.2606843411922455,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,history,128,512,4,3,0.9366965889930725,1.1545001938939095,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,history,128,512,4,4,1.101601891219616,1.206381805241108,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,history,128,512,4,5,1.1189020574092865,1.260070115327835,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,history,128,512,4,6,1.0141484960913658,1.2572556287050247,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,history,128,512,4,7,1.0687339678406715,1.137234017252922,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,history,128,512,4,8,1.1480523496866226,1.167175978422165,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,history,128,512,4,9,1.041376568377018,1.137881062924862,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,history,128,512,4,10,1.1288014277815819,1.2213558703660965,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,history,128,512,4,11,1.0927434414625168,1.1488689631223679,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,history,128,512,4,12,1.081780731678009,1.086995154619217,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,history,128,512,4,13,1.0815210714936256,1.1354252025485039,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,history,128,512,4,14,1.0965396910905838,1.11166300624609,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,history,128,512,4,15,1.1056503355503082,1.018838256597519,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,history,128,512,4,16,1.0824000015854836,1.0008684322237968,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,history,128,512,4,17,0.9350791499018669,1.0653982758522034,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,history,128,512,4,18,0.980778768658638,1.0106080323457718,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,history,128,512,4,19,1.0245544835925102,1.045932061970234,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,history,128,512,4,20,1.0618224740028381,1.0115579143166542,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,history,128,512,4,21,1.1765359193086624,1.0051675140857697,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,history,128,512,4,22,1.1179761737585068,1.0205219611525536,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
