row_number,model,seed,method,predictor,bucket_size,num_chains,dimension,repeat,method_seconds,monolithic_seconds_same_index,pairing_note
4,eight_schools_centered,0,bucketed,history,128,512,10,11,1.7486897259950638,1.9359266012907028,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_centered,0,bucketed,history,128,512,10,12,1.7238842621445656,1.910935364663601,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_centered,0,bucketed,history,128,512,10,13,1.7333732843399048,1.8919311687350273,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_centered,0,bucketed,history,128,512,10,14,1.7448499500751495,1.8886633589863777,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_centered,0,bucketed,history,128,512,10,15,1.726855218410492,1.9545903131365776,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_centered,0,bucketed,history,128,512,10,16,1.7135461941361427,1.8915774747729301,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_centered,0,bucketed,history,128,512,10,17,1.7586723044514656,1.9287863373756409,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_centered,0,bucketed,history,128,512,10,18,1.728170558810234,1.956614799797535,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_centered,0,bucketed,history,128,512,10,19,1.7206326052546501,1.9041771441698074,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_centered,0,bucketed,history,128,512,10,20,1.7250097170472145,1.8726266995072365,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_centered,0,bucketed,history,128,512,10,21,1.727530024945736,1.9650556817650795,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_centered,0,bucketed,history,128,512,10,22,1.7499840557575226,1.8695087134838104,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_centered,0,bucketed,history,128,512,10,23,1.7693958207964897,1.8976451754570007,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_centered,0,bucketed,history,128,512,10,24,1.7656250596046448,1.8923601806163788,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_centered,0,bucketed,history,128,512,10,25,1.7588396593928337,1.894813895225525,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_centered,0,bucketed,history,128,512,10,26,1.7373792231082916,1.9159119948744774,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_centered,0,bucketed,history,128,512,10,27,1.8072864040732384,2.023951657116413,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_centered,0,bucketed,history,128,512,10,28,1.7639138102531433,2.2047670111060143,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_centered,0,bucketed,history,128,512,10,29,1.748534806072712,1.9401726871728897,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_centered,0,bucketed,last_depth,64,512,10,0,1.883866123855114,1.9096629992127419,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_centered,0,bucketed,last_depth,64,512,10,1,2.012167990207672,1.9111573994159698,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_centered,0,bucketed,last_depth,64,512,10,2,1.989634908735752,1.9430657252669334,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_centered,0,bucketed,last_depth,64,512,10,3,1.8606045842170715,1.8961446657776833,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_centered,0,bucketed,last_depth,64,512,10,4,2.0525353997945786,1.91951934248209,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_centered,0,bucketed,last_depth,64,512,10,5,1.9669418260455132,1.8692869767546654,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_centered,0,bucketed,last_depth,64,512,10,6,1.8805393502116203,1.9063723012804985,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_centered,0,bucketed,last_depth,64,512,10,7,1.9583175629377365,1.899858683347702,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_centered,0,bucketed,last_depth,64,512,10,8,1.8862585797905922,1.933768354356289,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_centered,0,bucketed,last_depth,64,512,10,9,1.8496919050812721,1.9129450246691704,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_centered,0,bucketed,last_depth,64,512,10,10,1.8447126746177673,1.9250566065311432,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_centered,0,bucketed,last_depth,64,512,10,11,1.9348003640770912,1.9359266012907028,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_centered,0,bucketed,last_depth,64,512,10,12,1.8440325856208801,1.910935364663601,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_centered,0,bucketed,last_depth,64,512,10,13,1.8844593092799187,1.8919311687350273,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_centered,0,bucketed,last_depth,64,512,10,14,1.810756154358387,1.8886633589863777,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_centered,0,bucketed,last_depth,64,512,10,15,1.8839980214834213,1.9545903131365776,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_centered,0,bucketed,last_depth,64,512,10,16,1.9025713428854942,1.8915774747729301,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_centered,0,bucketed,last_depth,64,512,10,17,1.8336906284093857,1.9287863373756409,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_centered,0,bucketed,last_depth,64,512,10,18,1.7717154771089554,1.956614799797535,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_centered,0,bucketed,last_depth,64,512,10,19,1.8247932270169258,1.9041771441698074,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_centered,0,bucketed,last_depth,64,512,10,20,1.8373873233795166,1.8726266995072365,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_centered,0,bucketed,last_depth,64,512,10,21,1.9182525277137756,1.9650556817650795,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_centered,0,bucketed,last_depth,64,512,10,22,1.8032349422574043,1.8695087134838104,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_centered,0,bucketed,last_depth,64,512,10,23,1.8771243542432785,1.8976451754570007,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_centered,0,bucketed,last_depth,64,512,10,24,1.8731486722826958,1.8923601806163788,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_centered,0,bucketed,last_depth,64,512,10,25,1.8323191925883293,1.894813895225525,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_centered,0,bucketed,last_depth,64,512,10,26,1.8004090711474419,1.9159119948744774,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_centered,0,bucketed,last_depth,64,512,10,27,1.964264154434204,2.023951657116413,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_centered,0,bucketed,last_depth,64,512,10,28,1.8792728260159492,2.2047670111060143,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_centered,0,bucketed,last_depth,64,512,10,29,1.9078024551272392,1.9401726871728897,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
6,eight_schools_centered,0,bucketed,last_depth,128,512,10,0,1.7524911612272263,1.9096629992127419,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
6,eight_schools_centered,0,bucketed,last_depth,128,512,10,1,1.816808357834816,1.9111573994159698,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
