row_number,model,seed,method,predictor,bucket_size,num_chains,dimension,repeat,method_seconds,monolithic_seconds_same_index,pairing_note
2,funnel,0,bucketed,history,128,128,4,17,0.4866570606827736,0.3881619721651077,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,history,128,128,4,18,0.5022702813148499,0.3919840678572655,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,history,128,128,4,19,0.4615306481719017,0.4384659230709076,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,history,128,128,4,20,0.5165817216038704,0.41566649824380875,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,history,128,128,4,21,0.5208242014050484,0.3698255270719528,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,history,128,128,4,22,0.5030508562922478,0.4288349971175194,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,history,128,128,4,23,0.48134327679872513,0.3962514251470566,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,history,128,128,4,24,0.5167545154690742,0.3916432783007622,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,history,128,128,4,25,0.5529149025678635,0.4359043389558792,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,history,128,128,4,26,0.5000504106283188,0.40164392441511154,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,history,128,128,4,27,0.5466533005237579,0.408945195376873,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,history,128,128,4,28,0.5090565234422684,0.396708182990551,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,history,128,128,4,29,0.5339978039264679,0.4093683660030365,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,last_depth,64,128,4,0,0.5001992955803871,3.8272049874067307,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,last_depth,64,128,4,1,0.4727795645594597,0.41989999264478683,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,last_depth,64,128,4,2,0.4775550290942192,0.4161922112107277,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,last_depth,64,128,4,3,0.42813690751791,0.4243306741118431,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,last_depth,64,128,4,4,0.44997523725032806,0.4902585968375206,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,last_depth,64,128,4,5,0.5245087891817093,0.4458199292421341,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,last_depth,64,128,4,6,0.41522135585546494,0.4322126805782318,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,last_depth,64,128,4,7,0.4728492423892021,0.4669584110379219,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,last_depth,64,128,4,8,0.5028332769870758,0.4399724677205086,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,last_depth,64,128,4,9,0.4961746335029602,0.4015827924013138,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,last_depth,64,128,4,10,0.4680298715829849,0.40583763271570206,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,last_depth,64,128,4,11,0.4369269013404846,0.4465572312474251,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,last_depth,64,128,4,12,0.5093320608139038,0.41323989629745483,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,last_depth,64,128,4,13,0.5297300890088081,0.37846144288778305,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,last_depth,64,128,4,14,0.43527351319789886,0.3547256290912628,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,last_depth,64,128,4,15,0.4544527307152748,0.36726294457912445,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,last_depth,64,128,4,16,0.4295918121933937,0.3849094286561012,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,last_depth,64,128,4,17,0.44265080243349075,0.3881619721651077,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,last_depth,64,128,4,18,0.4945370480418205,0.3919840678572655,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,last_depth,64,128,4,19,0.47850582748651505,0.4384659230709076,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,last_depth,64,128,4,20,0.45413465052843094,0.41566649824380875,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,last_depth,64,128,4,21,0.503970555961132,0.3698255270719528,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,last_depth,64,128,4,22,0.4297746643424034,0.4288349971175194,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,last_depth,64,128,4,23,0.5272718444466591,0.3962514251470566,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,last_depth,64,128,4,24,0.5261936187744141,0.3916432783007622,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
