row_number,model,seed,method,predictor,bucket_size,num_chains,dimension,repeat,method_seconds,monolithic_seconds_same_index,pairing_note
2,eight_schools_noncentered,0,bucketed,none,128,512,10,27,0.4738428294658661,0.4765070006251335,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_noncentered,0,bucketed,none,128,512,10,28,0.46848300099372864,0.49719198048114777,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_noncentered,0,bucketed,none,128,512,10,29,0.5383399352431297,0.5434698089957237,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_noncentered,0,bucketed,history,64,512,10,0,0.6554361432790756,4.783946365118027,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_noncentered,0,bucketed,history,64,512,10,1,0.5939467772841454,0.4406552165746689,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_noncentered,0,bucketed,history,64,512,10,2,0.5071506574749947,0.38037731498479843,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_noncentered,0,bucketed,history,64,512,10,3,0.5370534211397171,0.45840317010879517,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_noncentered,0,bucketed,history,64,512,10,4,0.6179819256067276,0.41867369413375854,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_noncentered,0,bucketed,history,64,512,10,5,0.671212948858738,0.4614218771457672,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_noncentered,0,bucketed,history,64,512,10,6,0.536294475197792,0.39845936745405197,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_noncentered,0,bucketed,history,64,512,10,7,0.5937357023358345,0.4637657627463341,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_noncentered,0,bucketed,history,64,512,10,8,0.6370174661278725,0.42654789984226227,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_noncentered,0,bucketed,history,64,512,10,9,0.6199710071086884,0.4376004785299301,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_noncentered,0,bucketed,history,64,512,10,10,0.5122974961996078,0.40481144934892654,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_noncentered,0,bucketed,history,64,512,10,11,0.5734450742602348,0.43699079006910324,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_noncentered,0,bucketed,history,64,512,10,12,0.512963280081749,0.4259481728076935,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_noncentered,0,bucketed,history,64,512,10,13,0.5324821323156357,0.48324649780988693,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_noncentered,0,bucketed,history,64,512,10,14,0.5335088223218918,0.44373349845409393,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_noncentered,0,bucketed,history,64,512,10,15,0.5141470953822136,0.38824448734521866,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_noncentered,0,bucketed,history,64,512,10,16,0.4958338364958763,0.40607158839702606,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_noncentered,0,bucketed,history,64,512,10,17,0.6353338286280632,0.4142390862107277,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_noncentered,0,bucketed,history,64,512,10,18,0.6376776695251465,0.46437107771635056,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_noncentered,0,bucketed,history,64,512,10,19,0.5208365470170975,0.4123690128326416,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_noncentered,0,bucketed,history,64,512,10,20,0.6179351881146431,0.34695278108119965,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_noncentered,0,bucketed,history,64,512,10,21,0.5342018902301788,0.42094798386096954,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_noncentered,0,bucketed,history,64,512,10,22,0.5429483205080032,0.4756600558757782,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
